TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	16/03/18
TIME	14:10:06
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	950.0000
LASTX	350.0000
NPOINTS	601
FIRSTY	0.30800
MAXY	0.58688
MINY	0.30777
XYDATA
950.0000	0.308
949.0000	0.30795
948.0000	0.30808
947.0000	0.30802
946.0000	0.30777
945.0000	0.30792
944.0000	0.30836
943.0000	0.3087
942.0000	0.30919
941.0000	0.30944
940.0000	0.30969
939.0000	0.3098
938.0000	0.3097
937.0000	0.31008
936.0000	0.31035
935.0000	0.31063
934.0000	0.31079
933.0000	0.31076
932.0000	0.31107
931.0000	0.31085
930.0000	0.3111
929.0000	0.31113
928.0000	0.31131
927.0000	0.31171
926.0000	0.31194
925.0000	0.31215
924.0000	0.31218
923.0000	0.31243
922.0000	0.3124
921.0000	0.31249
920.0000	0.31268
919.0000	0.31317
918.0000	0.31352
917.0000	0.31363
916.0000	0.31376
915.0000	0.31423
914.0000	0.3146
913.0000	0.31433
912.0000	0.31429
911.0000	0.31474
910.0000	0.31472
909.0000	0.3145
908.0000	0.31404
907.0000	0.31351
906.0000	0.31387
905.0000	0.31445
904.0000	0.31481
903.0000	0.31531
902.0000	0.31623
901.0000	0.31682
900.0000	0.31708
899.0000	0.3175
898.0000	0.31775
897.0000	0.31842
896.0000	0.31795
895.0000	0.31842
894.0000	0.31926
893.0000	0.31955
892.0000	0.31999
891.0000	0.31974
890.0000	0.31935
889.0000	0.31946
888.0000	0.31931
887.0000	0.31946
886.0000	0.31972
885.0000	0.31962
884.0000	0.32061
883.0000	0.32077
882.0000	0.32135
881.0000	0.32191
880.0000	0.32177
879.0000	0.32256
878.0000	0.32281
877.0000	0.32314
876.0000	0.32342
875.0000	0.32284
874.0000	0.32276
873.0000	0.32259
872.0000	0.32144
871.0000	0.3215
870.0000	0.32224
869.0000	0.32215
868.0000	0.32231
867.0000	0.32372
866.0000	0.3238
865.0000	0.32502
864.0000	0.32427
863.0000	0.32381
862.0000	0.32437
861.0000	0.32409
860.0000	0.32431
859.0000	0.32392
858.0000	0.32393
857.0000	0.32455
856.0000	0.32488
855.0000	0.32568
854.0000	0.32594
853.0000	0.32655
852.0000	0.32704
851.0000	0.32759
850.0000	0.32625
849.0000	0.32642
848.0000	0.3269
847.0000	0.32675
846.0000	0.32704
845.0000	0.32721
844.0000	0.32828
843.0000	0.32847
842.0000	0.32868
841.0000	0.32816
840.0000	0.32974
839.0000	0.3296
838.0000	0.32819
837.0000	0.3289
836.0000	0.33014
835.0000	0.3308
834.0000	0.3307
833.0000	0.33011
832.0000	0.3304
831.0000	0.3305
830.0000	0.33008
829.0000	0.3305
828.0000	0.33109
827.0000	0.3323
826.0000	0.33242
825.0000	0.3338
824.0000	0.33352
823.0000	0.33378
822.0000	0.33336
821.0000	0.33219
820.0000	0.33375
819.0000	0.33476
818.0000	0.33574
817.0000	0.33742
816.0000	0.33751
815.0000	0.33768
814.0000	0.33797
813.0000	0.33808
812.0000	0.33829
811.0000	0.33845
810.0000	0.33874
809.0000	0.3389
808.0000	0.33903
807.0000	0.33927
806.0000	0.33952
805.0000	0.33967
804.0000	0.33986
803.0000	0.34001
802.0000	0.34035
801.0000	0.34054
800.0000	0.34089
799.0000	0.34107
798.0000	0.34133
797.0000	0.34164
796.0000	0.34186
795.0000	0.34215
794.0000	0.34242
793.0000	0.34254
792.0000	0.34277
791.0000	0.34313
790.0000	0.34335
789.0000	0.34365
788.0000	0.34406
787.0000	0.34432
786.0000	0.34472
785.0000	0.345
784.0000	0.34543
783.0000	0.34562
782.0000	0.34585
781.0000	0.34628
780.0000	0.34656
779.0000	0.34675
778.0000	0.34705
777.0000	0.34747
776.0000	0.34784
775.0000	0.34825
774.0000	0.34855
773.0000	0.34892
772.0000	0.34918
771.0000	0.3495
770.0000	0.34987
769.0000	0.35022
768.0000	0.3506
767.0000	0.35093
766.0000	0.35133
765.0000	0.35162
764.0000	0.35188
763.0000	0.35208
