TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	14/09/17
TIME	12:24:02
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	2000
LASTX	750
NPOINTS	1251
FIRSTY	0.09621
MAXY	2.06985
MINY	0.09621
XYDATA	
2000	-0.000452414
1999	-0.000282414
1998	-0.000142414
1997	-1.24138E-05
1996	-0.000172414
1995	7.58621E-06
1994	-0.000122414
1993	-0.000162414
1992	-0.000392414
1991	-0.000272414
1990	-0.000302414
1989	-0.000102414
1988	-9.24138E-05
1987	3.75862E-05
1986	-8.24138E-05
1985	1.75862E-05
1984	5.75862E-05
1983	0.000117586
1982	9.75862E-05
1981	-3.24138E-05
1980	0.000167586
1979	0.000187586
1978	0.000307586
1977	0.000257586
1976	0.000307586
1975	0.000247586
1974	0.000337586
1973	0.000237586
1972	0.000237586
1971	0.000387586
1970	0.000457586
1969	0.000627586
1968	0.000497586
1967	0.000267586
1966	0.000307586
1965	0.000307586
1964	0.000507586
1963	0.000587586
1962	0.000517586
1961	0.000327586
1960	0.000427586
1959	0.000547586
1958	0.000687586
1957	0.000587586
1956	0.000387586
1955	0.000247586
1954	0.000227586
1953	0.000277586
1952	0.000407586
1951	0.000407586
1950	0.000527586
1949	0.000417586
1948	0.000577586
1947	0.000747586
1946	0.000817586
1945	0.000657586
1944	0.000637586
1943	0.000767586
1942	0.000827586
1941	0.000837586
1940	0.000477586
1939	0.000517586
1938	0.000557586
1937	0.000677586
1936	0.000577586
1935	0.000717586
1934	0.000877586
1933	0.000987586
1932	0.001007586
1931	0.000977586
1930	0.000997586
1929	0.001197586
1928	0.001147586
1927	0.000857586
1926	0.000707586
1925	0.000637586
1924	0.000847586
1923	0.000767586
1922	0.000797586
1921	0.000897586
1920	0.000917586
1919	0.000877586
1918	0.000937586
1917	0.000767586
1916	0.000827586
1915	0.000797586
1914	0.000927586
1913	0.000867586
1912	0.000917586
1911	0.000657586
1910	0.000807586
1909	0.000697586
1908	0.000667586
1907	0.000857586
1906	0.000817586
1905	0.000897586
1904	0.001057586
1903	0.001027586
1902	0.001207586
1901	0.001177586
1900	0.001347586
1899	0.001687586
1898	0.001837586
1897	0.002007586
1896	0.002107586
1895	0.002137586
1894	0.002187586
1893	0.002087586
1892	0.001927586
1891	0.002017586
1890	0.002307586
1889	0.002367586
1888	0.002297586
1887	0.002027586
1886	0.002187586
1885	0.002187586
1884	0.002197586
1883	0.002117586
1882	0.002117586
1881	0.002117586
1880	0.002077586
1879	0.002117586
1878	0.002097586
1877	0.002057586
1876	0.002127586
1875	0.002317586
1874	0.002357586
1873	0.002507586
1872	0.002467586
1871	0.002587586
1870	0.002507586
1869	0.002417586
1868	0.002367586
1867	0.002297586
1866	0.002397586
1865	0.002267586
1864	0.002297586
1863	0.002307586
1862	0.002417586
1861	0.002397586
1860	0.002367586
1859	0.002277586
1858	0.002387586
1857	0.002517586
1856	0.002457586
1855	0.002547586
1854	0.002547586
1853	0.002697586
1852	0.002647586
1851	0.002867586
1850	0.002797586
1849	0.002767586
1848	0.002727586
1847	0.002727586
1846	0.002787586
1845	0.002837586
1844	0.002887586
1843	0.002957586
1842	0.003047586
1841	0.002967586
1840	0.003017586
1839	0.003117586
1838	0.003247586
1837	0.003317586
1836	0.003117586
1835	0.003217586
1834	0.003097586
1833	0.003057586
1832	0.003087586
1831	0.003167586
1830	0.003317586
1829	0.003247586
1828	0.003317586
1827	0.003287586
1826	0.003187586
1825	0.003237586
1824	0.003247586
1823	0.003407586
1822	0.003417586
1821	0.003397586
1820	0.003387586
1819	0.003367586
1818	0.003407586
1817	0.003337586
1816	0.003417586
1815	0.003637586
1814	0.003617586
1813	0.003667586
1812	0.003487586
1811	0.003497586
1810	0.003477586
1809	0.003677586
1808	0.003677586
1807	0.003887586
1806	0.003877586
1805	0.003987586
1804	0.003937586
1803	0.004097586
1802	0.004067586
1801	0.004137586
1800	0.004197586
1799	0.004217586
1798	0.004337586
1797	0.004387586
1796	0.004217586
